Number,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,LF,GWP
127,C(F)F,0.462914254,-0.199090147,0.44412,52.023,0.8829,7.083,3,17.07032183,1.632993162,2.754887502,0.73239376,2.887054378
128,C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,-0.139102222,0.38006,200.053,2.4232,22.958,12,62.10637042,4.451370338,121.3222521,0.278753601,2.290034611
129,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42209997,-0.10784641,0.40549,466.068,5.0548,46.03,28,140.3965932,5.64344943,472.7736378,1.42975228,3.728353782
130,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42972064,-0.12238995,0.40972,350.055,3.8526,35.051,21,105.8910221,5.221512557,309.8844652,1.42975228,3.758154622
131,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0.44077539,-0.13627213,0.42476,300.048,3.2173,30.104,18,91.1950092,4.819985968,266.2387662,1.149219113,3.507855872
132,C(OC(F)(F)F)(F)F,0.47727846,-0.191236976,0.47323,136.019,1.7454,13.144,8,41.04541539,3.388924101,65.31914642,2.130333768,4.155336037
133,C(OC(F)F)(F)F,0.46223828,-0.18825696,0.46523,118.029,1.4482,13.093,7,36.87987998,2.953223175,38.95445336,1.42975228,3.821513528
134,C(OC(OC(F)F)(F)F)(F)F,0.452414836,-0.170784407,0.46278,184.035,2.0151,19.125,11,56.68943813,3.793809545,102.3950231,1.423245874,3.782472624
135,C=C(C(F)(F)F)C(F)(F)F,0.420570216,-0.042582466,0.27334,164.048,2.6672,21.25,10,52.13768676,4.39899054,120.807256,-1.552841969,-0.42365865
136,C=C(C(F)(F)F)F,0.395688332,-0.079605069,0.27158,114.041,2.0319,16.303,7,37.44167384,3.791118417,79.42592197,-1.48148606,-0.300162274
137,C=C(F)F,0.374979178,-0.134322125,0.28947,64.034,1.3966,11.356,4,22.74566092,2.803039488,27.01955001,-1.886056648,-1.283996656
138,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.38933076,-0.04839982,0.27212,346.086,4.9112,40.987,21,106.756203,6.19696785,400.8845476,-1.602059991,-0.790484985
139,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.39444207,-0.05330489,0.27227,246.072,3.6406,31.093,15,77.36417719,5.474544775,247.818409,-1.602059991,-0.690369833
140,C=CC(C(C(F)(F)F)(F)F)(F)F,0.396643015,-0.057370464,0.27259,196.065,3.0053,26.146,12,62.66816427,4.973359563,176.7259818,-1.602059991,-0.628932138
141,C=CC(C(F)(F)F)(F)F,0.400060601,-0.065103318,0.27422,146.058,2.37,21.199,9,47.97215135,4.322570987,110.6166274,-1.602059991,-0.739928612
142,C=CC(F)(F)F,0.403786882,-0.076706918,0.27809,96.051,1.7347,16.252,6,33.27613843,3.445991214,51.54887502,-1.602059991,-0.583359493
143,C=CCOC(=O)C(F)(F)F,0.366368943,-0.058972677,0.24274,154.087,1.2779,27.211,10,55.28108999,3.739894885,138.3187146,-2.522878745,-2.15490196
144,C=CF,0.374231874,-0.126083181,0.28154,46.044,1.0994,11.305,3,18.58012551,2.187496097,10.26466251,-2.15490196,-1.619788758
145,C=COC(=O)C(F)(F)F,0.368239439,-0.037125288,0.22521,140.06,1.2354,22.344,9,48.91614788,3.882768219,126.2646625,-2.397940009,-2.096910013
146,C=COCC(F)(F)F,0.33623079,-0.121188592,0.26885,126.077,1.7088,22.204,8,44.75462578,3.239280745,75.8428331,-2,-1.236572006
147,CBr,0.38708764,-0.09880752,0.27494,94.939,1.0111,14.851,2,22.60679863,1,2,-0.096910013,0.385606274
148,CC(=O)C(F)(F)F,0.385391595,-0.046320215,0.22636,112.05,1.1377,16.736,7,38.12726357,3.791118417,82.67103446,-1.853871964,-1.045757491
149,CC(C(F)(F)F)(F)F,0.44720753,-0.176548456,0.43408,134.047,2.2039,16.676,8,42.29681227,4.020391543,62.65502203,1.600972896,3.658011397
150,CC(C)(F)F,0.422796813,-0.165457053,0.41703,80.077,1.6615,16.295,5,29.80020606,3.023715784,20.36452798,0.954242509,2.777426822
151,CC(C)Br,0.36951547,-0.08732849,0.26734,122.993,1.7897,24.063,4,35.33668286,2.323790008,8,-1.259637311,-0.899629455
152,CC(C)Cl,0.39144981,-0.111519423,0.31386,78.542,1.6336,20.989,4,31.77240148,2.323790008,8,-1.22184875,-0.742321425
153,CC(CC(F)(F)F)(F)F,0.433993344,-0.151148554,0.41863,148.074,2.594,21.293,9,48.66175439,3.746417931,74.1115672,0.949390007,2.960946196
154,CC(Cl)(Cl)Cl,0.39595577,-0.03598373,0.26298,133.405,2.3765,25.964,5,46.01399182,3.023715784,20.36452798,0.698970004,2.206825876
155,CC(F)(Cl)Cl,0.40817283,-0.06362906,0.28849,116.95,2.1072,21.219,5,39.876261,3.023715784,23.11941548,0.973127854,2.934498451
156,CC(F)(F)Cl,0.436173907,-0.102814918,0.32984,100.495,1.8379,16.474,5,33.73853017,3.023715784,23.11941548,1.255272505,3.361727836
157,CC(F)(F)F,0.482135692,-0.188740591,0.48056,84.04,1.5686,11.729,5,27.60079935,3.023715784,20.36452798,1.707570176,3.764176132
158,CC(F)F,0.440398492,-0.184950293,0.43548,66.05,1.2714,11.678,4,23.43526395,2.323790008,8.754887502,0.204119983,2.214843848
159,CCBr,0.37702165,-0.09448093,0.2721,108.966,1.4012,19.468,3,28.97174075,1.632993162,2.754887502,-0.863279433,-0.312471039
160,CCC(=O)C(F)(F)F,0.377949624,-0.04552587,0.22668,126.077,1.5278,21.353,8,44.49220568,3.823378455,93.94677017,-1.744727495,-1.022276395
161,CCC(F)(F)F,0.450925692,-0.167247538,0.44822,98.067,1.9587,16.346,6,33.96574147,3.168489873,35.7931939,0.041392685,1.873901598
162,CCCBr,0.37396719,-0.08854128,0.27139,122.993,1.7913,24.085,4,35.33668286,1.974744871,5.245112498,-1.387216143,-1.283996656
163,CCCCCl,0.390299252,-0.110923528,0.31668,92.569,2.0253,25.628,5,38.1373436,2.190609687,11.11941548,-1.920818754,-2.15490196
164,CCCl,0.400733681,-0.118569972,0.31872,64.515,1.2451,16.394,3,25.40745937,1.632993162,2.754887502,-0.879426069,-0.317854924
165,CCF,0.433784461,-0.179827361,0.42342,48.06,0.9758,11.649,3,19.26972855,1.632993162,2.754887502,-0.659555885,0.684845362
166,CCl,0.414108329,-0.122852815,0.32194,50.488,0.855,11.777,2,19.04251725,1,2,-0.045757491,0.743509765
167,CCOC(=O)C(F)(F)F,0.39964439,-0.06849078,0.27347,142.076,1.1118,22.688,9,49.60575091,3.743097706,106.8706003,-1.22184875,0.198657087
168,CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41007766,-0.12184258,0.37148,264.087,3.4486,32.522,16,83.16732546,5.344294203,242.8739903,-0.096910013,1.783188691
169,CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.41554179,-0.11167711,0.35809,264.087,3.4486,32.522,16,83.16732546,5.609230559,225.3642153,-0.200659451,1.53529412
170,CCOC(C(C(F)(F)F)F)(F)F,0.408771564,-0.13698686,0.37146,196.09,2.5161,27.524,12,64.30577713,4.342286462,141.3640961,-0.394694954,1.421603927
171,CCOC(C(F)F)(F)F,0.406165483,-0.155236286,0.3979,146.083,1.8808,22.577,9,49.60976421,3.702086145,82.63682062,-0.681936665,1.096910013
172,CCOC(F)(F)F,0.41660236,-0.168988235,0.41302,114.066,1.5427,17.681,7,39.07928669,3.154490065,48.63193445,-0.401209493,1.465382851
173,CF,0.467051091,-0.195219531,0.43841,34.033,0.5857,7.032,2,12.90478643,1,2,0.447158031,2.130333768
174,COC(=O)C(F)(F)F,0.407841876,-0.068988871,0.27392,128.049,0.7217,18.071,8,43.24080879,3.823378455,95.19188266,0,1.915399835
175,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41636913,-0.12102041,0.37476,250.06,3.0585,27.905,15,76.80238334,5.379464013,229.1474279,0.681241237,2.7355989
176,COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.39501384,-0.08203205,0.32127,350.074,4.3291,37.799,21,106.1944092,6.603383995,361.4516891,0.719331287,2.607455023
177,COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.42672527,-0.11101518,0.36263,250.06,3.0585,27.905,15,76.80238334,5.645277984,211.6376529,0.681241237,2.640481437
178,COC(C(C(F)(F)F)(F)F)(F)F,0.425652853,-0.139499737,0.39037,200.053,2.4232,22.958,12,62.10637042,4.847021821,159.2795361,0.707570176,2.760422483
179,COC(C(C(F)(F)F)F)(F)F,0.419893223,-0.137891143,0.37654,182.063,2.126,22.907,11,57.94083502,4.352448404,129.0341978,0.397940009,2.421603927
180,COC(C(C(F)F)(F)F)(F)F,0.411710977,-0.141663139,0.38593,182.063,2.126,22.907,11,57.94083502,4.527512324,132.5439728,0.397940009,2.442479769
181,COC(C(F)(F)F)(C(F)(F)F)F,0.411462808,-0.138737095,0.37417,200.053,2.4232,22.958,12,62.10637042,4.951010561,141.7697611,0.568201724,2.593286067
182,COC(C(F)(F)F)(F)F,0.432078413,-0.162607832,0.41061,150.046,1.7879,18.011,9,47.4103575,4.144726367,94.8664547,0.698970004,2.873320602
183,COC(C(F)(F)F)C(F)(F)F,0.387988684,-0.139938644,0.35212,182.063,2.126,22.907,11,57.94083502,4.426424983,109.5244228,-0.749579998,0.910090546
184,COC(C(F)Cl)(F)F,0.402516034,-0.099723364,0.32347,148.511,1.76,22.705,8,49.38255292,3.708324167,74.92878689,0.155336037,2.133538908
185,COC(C(F)F)(F)F,0.419491814,-0.160141338,0.40301,132.056,1.4907,17.96,8,43.2448221,3.708324167,71.6836744,0.397940009,2.515873844
186,COC(C(F)F)(F)F,0.419491814,-0.160141338,0.40301,132.056,1.4907,17.96,8,43.2448221,3.708324167,71.6836744,0.397940009,2.515873844
187,COC(C(OC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.38929453,-0.12740892,0.39374,394.108,3.8692,45.87,24,123.7344516,5.54651275,396.7737976,0.230448921,2.340444115
188,COC(F)(F)F,0.433571628,-0.1837117,0.42573,100.039,1.1526,13.064,6,32.71434458,3.168489873,38.54808141,0.69019608,2.789580712
189,COCC(C(F)(F)F)(F)F,0.37282148,-0.137866954,0.33713,164.073,1.8304,22.878,10,53.77529962,4.101783753,106.7058033,-1.161150909,0.204119983
190,COCC(C(F)F)(F)F,0.362325373,-0.138579846,0.33121,146.083,1.5332,22.827,9,49.60976421,3.702086145,82.63682062,-1.148741651,0.225309282
191,COCC(F)(F)F,0.37569168,-0.156082284,0.35254,114.066,1.1951,17.931,7,39.07928669,3.154490065,48.63193445,-1.113509275,0.31386722
192,FC(F)(F)C(OC(F)F)C(F)(F)F,0.43157393,-0.13759502,0.39668,218.043,2.7188,22.987,13,66.27190582,4.578877531,142.5074118,1.348304863,3.482873584
193,FC(F)(OC(F)F)C(F)(F)OC(F)F,0.43449436,-0.14223169,0.42663,234.042,2.6504,24.072,14,71.38545105,4.511880583,160.1800927,1.127104798,3.521138084
194,FC(F)(OC)C(F)(F)OC,0.39352519,-0.154643989,0.39965,162.082,1.4648,23.912,10,54.72330944,4.281756762,99.82521877,0.230448921,2.305351369
195,FC(F)OC,0.416288795,-0.19329494,0.4183,82.049,0.8554,13.013,5,28.54880918,2.539538861,21.60964047,0.041392685,2.133538908
196,FS(F)(F)(F)(F)F,0.536314379,-0.019859577,0.33848,146.055,3.1694,14.239,7,35.13578706,4.431293675,62.74506838,3.505149978,4.401400541
197,N(F)(F)F,0.484370715,-0.149762933,0.3711,71.001,0.9419,5.163,4,20.436583,2.323790008,8,2.755112266,4.240549248
198,O=COC(F)(F)C(F)(F)F,0.420344907,-0.06595397,0.27934,164.029,1.3145,18.151,10,51.5718796,4.234128446,127.344978,0.556302501,2.775974331
199,O=S(=O)(F)F,0.482147797,-0.073929448,0.33379,102.061,0.1702,11.1358,5,27.92177219,4.062942299,90.81635834,1.556302501,3.665580991
